index,Name,PlayerID,ERA,IP,CSW%
404,Chris Martin,455119,3.86,23.1,26.7
405,Corbin Martin,656686,4.40,14.1,23.0
406,Davis Martin,663436,4.29,21.0,25.5
407,Adrian Martinez,661309,6.30,10.0,21.6
408,Nick Martinez,607259,3.76,67.0,27.2
409,Seth Martinez,661527,1.02,17.2,25.3
410,Phil Maton,664208,3.77,31.0,23.5
411,Steven Matz,571927,6.03,37.1,30.6
412,Tyler Matzek,554431,5.06,10.2,26.1
413,Trevor May,543507,8.64,8.1,16.9
414,Mike Mayers,594577,5.40,16.2,20.8
415,Jack Mayfield,608686,0.00,1.0,0.0
417,Tim Mayza,641835,3.15,20.0,29.2
418,Chris Mazza,607391,11.81,5.1,21.2
419,Kirk McCarty,668948,10.29,7.0,29.7
420,Shane McClanahan,663556,1.77,91.1,29.8
421,T. J. McFarland,519008,7.43,26.2,22.3
422,Jake McGee,459429,6.98,19.1,22.1
423,Collin McHugh,543521,3.19,31.0,28.2
424,David McKay,641853,0.00,2.0,26.9
425,Triston McKenzie,663474,4.03,80.1,23.3
426,John Means,607644,3.38,8.0,12.3
427,Adonis Medina,658431,3.94,16.0,30.6
428,Trevor Megill,656730,2.08,13.0,26.7
429,Tylor Megill,656731,5.01,41.1,28.1
430,J. C. Mejia,650496,23.14,2.1,21.1
431,Mark Melancon,453343,5.47,26.1,24.9
432,Conner Menez,669214,0.00,1.0,27.3
433,Daniel Mengden,596043,2.08,4.1,39.0
434,Julian Merryweather,657240,6.38,18.1,22.1
435,Keynan Middleton,641871,3.86,4.2,27.0
436,Miles Mikolas,571945,2.57,94.2,26.2
437,Wade Miley,489119,2.84,19.0,25.0
438,Tyson Miller,668338,18.00,3.0,23.9
439,Alec Mills,621219,9.87,17.1,25.9
440,Wyatt Mills,670090,4.15,8.2,25.3
441,Hoby Milner,571948,2.05,30.2,26.2
443,Tommy Milone,543548,2.00,9.0,27.5
444,Juan Minaya,573668,8.53,6.1,38.2
445,Mike Minor,501985,7.71,25.2,24.3
446,A. J. Minter,621345,1.64,33.0,30.3
447,Anthony Misiewicz,664948,4.61,13.2,23.0
448,Casey Mize,663554,5.40,10.0,18.6
449,Yadier Molina,425877,18.00,2.0,16.7
450,Sam Moll,594580,2.45,22.0,31.0
451,Frankie Montas,593423,3.20,95.2,26.2
452,Rafael Montero,606160,1.76,30.2,28.8
453,Jordan Montgomery,656756,3.27,85.1,26.1
454,Matt Moore,519043,2.02,35.2,26.4
455,Francisco Morales,672839,0.00,3.0,21.4
456,Brian Moran,572383,54.00,0.1,0.0
457,Jovani Moran,663558,1.32,13.2,29.8
458,Adrián Morejón,670970,3.86,4.2,25.6
459,Dauri Moreta,664294,7.65,20.0,28.4
460,Eli Morgan,669212,2.75,36.0,29.8
461,Reyes Moronta,606625,2.08,13.0,21.3
462,Charlie Morton,450203,4.73,80.0,24.1
463,Kyle Muller,666205,23.63,2.2,17.6
464,Andres Munoz,662253,3.77,28.2,19.1
465,Penn Murfee,682171,1.76,30.2,22.5
466,Patrick Murphy,641907,6.35,5.2,17.0
467,Joe Musgrove,605397,2.25,92.0,30.7
469,Parker Mushinski,656786,4.26,6.1,36.5
470,Wil Myers,571976,18.00,1.0,0.0
471,James Naile,NaN,0.00,1.0,NaN
472,Tommy Nance,667297,6.16,19.0,30.3
473,Packy Naughton,676050,4.91,14.2,23.8
474,Kyle Nelson,669459,1.48,24.1,25.0
475,Nick Nelson,656793,4.66,36.2,25.3
476,Hector Neris,593576,3.62,32.1,33.4
477,Sheldon Neuse,641914,0.00,1.0,0.0
478,Sean Newcomb,656794,11.57,9.1,25.4
479,Stephen Nogosek,668665,0.71,12.2,26.0
480,Aaron Nola,605400,3.13,103.2,30.5
481,Daniel Norris,596057,7.24,27.1,31.8
482,James Norwood,656803,8.31,17.1,17.9
483,Riley O'Brien,676617,0.00,1.0,18.2
484,Darren O'Day,503285,4.58,17.2,26.2
485,Bailey Ober,641927,4.01,33.2,23.2
486,Jake Odorizzi,543606,3.13,31.2,24.9
487,Shohei Ohtani,660271,2.68,74.0,22.7
488,Steven Okert,595345,2.28,23.2,24.2
489,Adam Oller,670124,9.00,23.0,20.1
490,Oliver Ortega,661383,4.11,30.2,17.9
491,Adam Ottavino,493603,2.86,28.1,27.7
492,Glenn Otto,657248,5.31,42.1,25.4
493,Connor Overton,656818,1.82,24.2,28.7
495,Johan Oviedo,670912,3.24,16.2,20.6
496,Chris Owings,572008,9.00,1.0,0.0
497,Chris Paddack,663978,4.03,22.1,28.9
498,Emilio Pagan,641941,5.26,25.2,26.3
499,Andre Pallante,669467,2.10,55.2,23.6
500,Enoli Paredes,660600,9.00,1.0,20.0
501,Luis Patino,672715,13.50,0.2,55.6
502,Spencer Patton,607359,3.86,7.0,25.9
503,Joel Payamps,606303,2.42,26.0,25.6
504,Matt Peacock,676840,5.40,10.0,29.9
505,Elvis Peguero,665625,14.54,4.1,20.7
506,Ryan Pepiot,686752,3.18,11.1,37.2
507,Freddy Peralta,642547,4.42,38.2,31.4
508,Wandy Peralta,593974,2.20,28.2,26.6
509,Wily Peralta,503449,2.35,30.2,25.0
510,Luis Perdomo,606131,1.74,10.1,27.4
511,Cionel Pérez,672335,1.14,23.2,30.0
512,Francisco Perez,660906,7.27,8.2,19.4
513,Martin Perez,527048,2.22,93.1,28.1
514,Oliver Perez,424144,15.75,4.0,13.5
515,Dillon Peters,596071,3.86,25.2,24.5
516,David Peterson,656849,3.10,52.1,25.8
517,David Phelps,475479,3.23,30.2,24.0
518,Brett Phillips,621433,24.00,3.0,0.0
519,Evan Phillips,623465,1.80,30.0,35.6
521,Konnor Pilkington,663455,4.31,31.1,26.4
522,Chad Pinder,640461,27.00,1.0,0.0
523,Michael Pineda,501381,3.22,22.1,29.1
524,Nick Pivetta,601713,3.23,94.2,26.9
525,Kevin Plawecki,608700,0.00,1.0,0.0
526,Zach Plesac,668676,3.86,79.1,23.3
527,Colin Poche,621363,2.25,24.0,24.0
528,Zach Pop,647315,4.26,6.1,26.7
529,Sean Poppen,664092,2.91,21.2,27.1
530,Cody Poteet,547001,2.42,26.0,25.0
531,Ryan Pressly,519151,3.68,22.0,25.4
532,David Price,456034,3.20,19.2,32.4
533,Austin Pruitt,643493,5.14,14.0,23.1
